"2011 census frozen ward","mnemonic","Total","Male","Female"
"Tottington","E36006271",100,50,50
"Unsworth","E36006272",140,90,50
"Ancoats and Clayton","E36006273",540,320,215
"Ardwick","E36006274",650,415,235
"Baguley","E36006275",475,285,190
"Bradford","E36006276",730,440,290
"Brooklands","E36006277",330,200,125
"Burnage","E36006278",430,225,205
"Charlestown","E36006279",525,290,235
"Cheetham","E36006280",860,525,335
"Chorlton","E36006281",245,165,80
"Chorlton Park","E36006282",335,185,150
"City Centre","E36006283",100,70,30
"Crumpsall","E36006284",625,385,240
"Didsbury East","E36006285",165,100,65
"Didsbury West","E36006286",150,105,45
"Fallowfield","E36006287",365,205,165
"Gorton North","E36006288",815,445,375
"Gorton South","E36006289",850,480,370
"Harpurhey","E36006290",985,550,435
"Higher Blackley","E36006291",430,240,190
"Hulme","E36006292",565,370,195
"Levenshulme","E36006293",425,275,145
"Longsight","E36006294",655,395,260
"Miles Platting and Newton Heath","E36006295",760,450,310
"Moss Side","E36006296",915,540,370
"Moston","E36006297",435,225,205
"Northenden","E36006298",435,250,185
"Old Moat","E36006299",475,290,185
"Rusholme","E36006300",525,365,160
"Sharston","E36006301",550,330,220
"Whalley Range","E36006302",485,325,160
"Withington","E36006303",225,150,75
"Woodhouse Park","E36006304",480,290,190
"Alexandra","E36006305",800,490,310
"Chadderton Central","E36006306",235,130,105
"Chadderton North","E36006307",260,150,110
"Chadderton South","E36006308",330,195,135
"Coldhurst","E36006309",695,395,300
"Crompton","E36006310",140,70,70
"Failsworth East","E36006311",215,125,90
"Failsworth West","E36006312",270,130,140
"Hollinwood","E36006313",475,255,215
"Medlock Vale","E36006314",505,290,215
"Royton North","E36006315",165,95,75
"Royton South","E36006316",190,125,70
"Saddleworth North","E36006317",80,45,35
"Saddleworth South","E36006318",85,45,40
"Saddleworth West and Lees","E36006319",165,85,75
"Shaw","E36006320",230,140,95
"St James'","E36006321",415,220,195
"St Mary's","E36006322",670,400,270
"Waterhead","E36006323",480,280,200
"Werneth","E36006324",585,340,240
"Balderstone and Kirkholt","E36006325",385,205,180
"Bamford","E36006326",170,90,80
"Castleton","E36006327",265,145,125
"Central Rochdale","E36006328",610,390,220
"East Middleton","E36006329",235,115,115
"Healey","E36006330",200,105,90
"Hopwood Hall","E36006331",315,190,125
"Kingsway","E36006332",480,285,195
"Littleborough Lakeside","E36006333",135,85,50
"Milkstone and Deeplish","E36006334",590,350,240
"Milnrow and Newhey","E36006335",130,90,40
"Norden","E36006336",65,40,30
"North Heywood","E36006337",330,200,130
"North Middleton","E36006338",285,155,135
"Smallbridge and Firgrove","E36006339",440,230,205
"South Middleton","E36006340",160,100,60
"Spotland and Falinge","E36006341",330,190,140
"Wardle and West Littleborough","E36006342",135,75,60
"West Heywood","E36006343",315,185,130
"West Middleton","E36006344",400,225,175
"Barton","E36006345",435,255,180
"Boothstown and Ellenbrook","E36006346",70,35,35
"Broughton","E36006347",750,520,230
"Cadishead","E36006348",180,90,95
"Claremont","E36006349",115,80,40
"Eccles","E36006350",250,170,80
"Irlam","E36006351",175,90,85
"Irwell Riverside","E36006352",480,300,180
"Kersal","E36006353",275,185,90
"Langworthy","E36006354",665,430,230
"Little Hulton","E36006355",620,345,275
"Ordsall","E36006356",410,255,150
"Pendlebury","E36006357",325,195,130
"Swinton North","E36006358",260,160,100
"Swinton South","E36006359",195,115,75
"Walkden North","E36006360",475,275,205
"Walkden South","E36006361",175,110,65
"Weaste and Seedley","E36006362",375,230,145
"Winton","E36006363",385,235,150
"Worsley","E36006364",50,30,20
"Bramhall North","E36006365",105,65,45
"Bramhall South","E36006366",40,25,15
"Bredbury and Woodley","E36006367",185,110,75
"Bredbury Green and Romiley","E36006368",235,140,95
"Brinnington and Central","E36006369",880,535,345
"Cheadle and Gatley","E36006370",130,80,50
"Cheadle Hulme North","E36006371",140,85,55
"Cheadle Hulme South","E36006372",105,55,50
"Davenport and Cale Green","E36006373",370,210,165
"Edgeley and Cheadle Heath","E36006374",340,190,150
"Hazel Grove","E36006375",145,80,65
"Heald Green","E36006376",125,70,50
"Heatons North","E36006377",170,105,60
"Heatons South","E36006378",175,115,60
"Manor","E36006379",260,150,105
"Marple North","E36006380",75,50,30
"Marple South","E36006381",85,50,35
"Offerton","E36006382",230,145,90
"Reddish North","E36006383",335,185,155
"Reddish South","E36006384",250,160,90
"Stepping Hill","E36006385",100,70,35
"Ashton Hurst","E36006386",340,205,140
"Ashton St Michael's","E36006387",400,235,165
"Ashton Waterloo","E36006388",265,165,100
"Audenshaw","E36006389",215,120,90
"Denton North East","E36006390",240,145,95
"Denton South","E36006391",280,160,120
"Denton West","E36006392",125,70,50
"Droylsden East","E36006393",250,150,100
"Droylsden West","E36006394",225,130,95
"Dukinfield","E36006395",365,220,145
"Dukinfield Stalybridge","E36006396",235,145,90
"Hyde Godley","E36006397",340,205,135
"Hyde Newton","E36006398",385,240,145
"Hyde Werneth","E36006399",220,115,105
"Longdendale","E36006400",245,140,105
"Mossley","E36006401",235,140,95
"St Peter's","E36006402",610,375,230
"Stalybridge North","E36006403",400,230,175
"Stalybridge South","E36006404",195,105,85
"Altrincham","E36006405",120,75,50
"Ashton upon Mersey","E36006406",90,55,35
"Bowdon","E36006407",75,40,35
"Broadheath","E36006408",140,65,75
"Brooklands","E36006409",70,40,30
"Bucklow-St Martins","E36006410",340,175,160
"Clifford","E36006411",480,300,180
"Davyhulme East","E36006412",115,60,55
"Davyhulme West","E36006413",95,50,45
"Flixton","E36006414",90,60,25
"Gorse Hill","E36006415",340,205,135
"Hale Barns","E36006416",65,30,40
"Hale Central","E36006417",55,30,25
"Longford","E36006418",315,205,110
"Priory","E36006419",110,75,35
"Sale Moor","E36006420",165,90,70
"St Mary's","E36006421",230,140,95
"Stretford","E36006422",300,185,115
"Timperley","E36006423",35,20,15
"Urmston","E36006424",140,85,55
"Village","E36006425",145,85,65
"Abram","E36006426",455,245,205
"Ashton","E36006427",165,95,70
"Aspull New Springs Whelley","E36006428",185,100,85
"Astley Mosley Common","E36006429",140,80,60
"Atherleigh","E36006430",295,180,115
"Atherton","E36006431",560,340,220
"Bryn","E36006432",200,115,85
"Douglas","E36006433",455,275,180
"Golborne and Lowton West","E36006434",225,130,95
"Hindley","E36006435",345,220,130
"Hindley Green","E36006436",145,85,60
"Ince","E36006437",520,310,210
"Leigh East","E36006438",395,255,140
"Leigh South","E36006439",375,230,145
"Leigh West","E36006440",640,400,235
"Lowton East","E36006441",125,65,55
"Orrell","E36006442",130,65,60
"Pemberton","E36006443",510,285,225
"Shevington with Lower Ground","E36006444",115,60,55
"Standish with Langtree","E36006445",125,70,55
"Tyldesley","E36006446",335,200,135
"Wigan Central","E36006447",360,245,115
"Wigan West","E36006448",290,160,130
"Winstanley","E36006449",55,35,20
"Worsley Mesnes","E36006450",305,190,115
"Bank Hall","E36003763",320,200,120
"Briercliffe","E36003764",55,30,25
"Brunshaw","E36003765",190,105,80
"Cliviger with Worsthorne","E36003766",25,20,5
"Coal Clough with Deerplay","E36003767",105,60,45
"Daneshouse with Stoneyholme","E36003768",330,170,160
"Gannow","E36003769",170,100,75
"Gawthorpe","E36003770",230,135,95
"Hapton with Park","E36003771",115,55,55
"Lanehead","E36003772",135,70,65
"Queensgate","E36003773",205,115,90
"Rosegrove with Lowerhouse","E36003774",195,105,95
"Rosehill with Burnley Wood","E36003775",220,125,95
"Trinity","E36003776",360,230,130
"Whittlefield with Ightenhill","E36003777",75,45,30
"Adlington and Anderton","E36003778",85,45,40
"Astley and Buckshaw","E36003779",75,45,30
"Brindle and Hoghton","E36003780",10,5,5
"Chisnall","E36003781",30,10,20
"Chorley East","E36003782",170,100,75
"Chorley North East","E36003783",125,80,45
"Chorley North West","E36003784",80,45,30
"Chorley South East","E36003785",190,110,80
"Chorley South West","E36003786",205,115,90
"Clayton-le-Woods and Whittle-le-Woods","E36003787",45,25,20
"Clayton-le-Woods North","E36003788",195,125,70
"Clayton-le-Woods West and Cuerden","E36003789",35,20,15
"Coppull","E36003790",110,65,45
"Eccleston and Mawdesley","E36003791",40,20,20
"Euxton North","E36003792",30,20,15
"Euxton South","E36003793",20,10,10
"Heath Charnock and Rivington","E36003794",15,5,10
"Lostock","E36003795",30,15,15
"Pennine","E36003796",10,5,5
"Wheelton and Withnell","E36003797",30,15,15
"Ansdell","E36003798",20,15,10
"Ashton","E36003799",80,45,35
"Central","E36003800",165,105,60
"Clifton","E36003801",20,10,5
"Elswick and Little Eccleston","E36003802",10,5,5
"Fairhaven","E36003803",65,45,20
"Freckleton East","E36003804",40,20,20
"Freckleton West","E36003805",25,15,10
"Heyhouses","E36003806",50,30,20
"Kilnhouse","E36003807",75,35,35
"Kirkham North","E36003808",40,20,20
"Kirkham South","E36003809",35,25,10
"Medlar-with-Wesham","E36003810",50,25,25
"Newton and Treales","E36003811",20,10,15
"Park","E36003812",40,25,15
"Ribby-with-Wrea","E36003813",10,5,5
"Singleton and Greenhalgh","E36003814",10,5,5
"St Johns","E36003815",50,30,20
"St Leonards","E36003816",50,35,15
"Staining and Weeton","E36003817",50,25,25
"Warton and Westby","E36003818",70,35,35
"Altham","E36003819",105,55,50
"Barnfield","E36003820",195,120,80
"Baxenden","E36003821",25,10,15
"Central","E36003822",225,135,90
"Church","E36003823",195,105,90
"Clayton-le-Moors","E36003824",100,55,45
"Huncoat","E36003825",55,30,30
"Immanuel","E36003826",90,50,45
"Milnshaw","E36003827",115,65,50
"Netherton","E36003828",140,85,55
"Overton","E36003829",100,60,40
"Peel","E36003830",205,125,80
"Rishton","E36003831",145,80,60
"Spring Hill","E36003832",260,155,105
"St Andrew's","E36003833",105,65,45
"St Oswald's","E36003834",60,35,25
"Bare","E36003835",60,35,25
"Bolton-le-Sands","E36003836",30,15,20
"Bulk","E36003837",180,105,75
"Carnforth","E36003838",55,30,25
"Castle","E36003839",175,115,60
"Duke's","E36003840",55,30,25
"Ellel,University","E36003841",35,20,15
"Halton-with-Aughton","E36003842",15,10,5
"Harbour","E36003843",295,190,100
"Heysham Central","E36003844",85,50,35
"Heysham North","E36003845",285,170,115
"Heysham South","E36003846",130,60,70
"John O'Gaunt","E36003847",70,40,25
"Kellet","E36003848",10,5,5
"Lower Lune Valley","E36003849",30,20,15
"Overton","E36003850",45,25,20
"Poulton","E36003851",305,190,120
"Scotforth East","E36003852",50,25,20
"Scotforth West","E36003853",70,35,30
"Silverdale","E36003854",10,5,5
"Skerton East","E36003855",205,125,80
"Skerton West","E36003856",220,125,100
"Slyne-with-Hest","E36003857",25,15,10
"Torrisholme","E36003858",45,25,20
"Upper Lune Valley","E36003859",5,5,0
"Warton","E36003860",15,10,10
"Westgate","E36003861",200,110,90
"Barrowford","E36003862",35,25,15
"Blacko and Higherford","E36003863",5,0,0
"Boulsworth","E36003864",35,20,15
"Bradley","E36003865",220,120,100
"Brierfield","E36003866",145,70,70
"Clover Hill","E36003867",185,125,60
"Coates","E36003868",50,30,25
"Craven","E36003869",45,30,15
"Earby","E36003870",55,35,20
"Foulridge","E36003871",5,5,0
"Higham and Pendleside","E36003872",5,5,5
"Horsfield","E36003873",130,80,50
"Marsden","E36003874",80,35,40
"Old Laund Booth","E36003875",5,5,5
"Reedley","E36003876",85,55,30
"Southfield","E36003877",190,115,75
"Vivary Bridge","E36003878",110,60,55
"Walverden","E36003879",100,55,45
"Waterside","E36003880",170,90,80
"Whitefield","E36003881",115,60,50
"Ashton","E36003882",100,60,40
"Brookfield","E36003883",155,75,80
"Cadley","E36003884",40,25,15
"College","E36003885",35,25,10
"Deepdale","E36003886",140,60,80
"Fishwick","E36003887",195,110,80
"Garrison","E36003888",55,30,25
"Greyfriars","E36003889",35,20,15
"Ingol","E36003890",155,90,65
"Larches","E36003891",155,80,75
"Lea","E36003892",60,30,30
"Moor Park","E36003893",165,110,60
"Preston Rural East","E36003894",20,15,10
"Preston Rural North","E36003895",40,20,20
"Ribbleton","E36003896",285,175,105
"Riversway","E36003897",230,145,85
"Sharoe Green","E36003898",70,40,25
"St George's","E36003899",265,175,95
"St Matthew's","E36003900",345,200,140
"Town Centre","E36003901",385,250,135
"Tulketh","E36003902",195,125,70
"University","E36003903",115,75,40
"Aighton, Bailey and Chaigley","E36003904",10,5,5
"Alston and Hothersall","E36003905",20,15,5
"Billington and Old Langho","E36003906",10,5,5
"Bowland, Newton and Slaidburn","E36003907",5,0,0
"Chatburn","E36003908",10,5,5
"Chipping","E36003909",15,5,5
"Clayton-le-Dale with Ramsgreave","E36003910",10,5,5
"Derby and Thornley","E36003911",30,15,15
"Dilworth","E36003912",20,15,10
"Edisford and Low Moor","E36003913",30,15,15
"Gisburn, Rimington","E36003914",15,10,5
"Langho","E36003915",15,5,10
"Littlemoor","E36003916",35,20,15
"Mellor","E36003917",10,10,5
"Primrose","E36003918",35,15,20
"Read and Simonstone","E36003919",25,10,15
"Ribchester","E36003920",5,0,5
"Sabden","E36003921",10,10,5
"Salthill","E36003922",40,25,15
"St Mary's","E36003923",20,10,5
"Waddington and West Bradford","E36003924",15,10,5
"Whalley","E36003925",15,10,5
"Wilpshire","E36003926",15,10,5
"Wiswell and Pendleton","E36003927",10,5,5
"Cribden","E36003928",45,30,15
"Eden","E36003929",25,15,10
"Facit and Shawforth","E36003930",65,40,30
"Goodshaw","E36003931",35,20,15
"Greenfield","E36003932",80,45,35
"Greensclough","E36003933",150,90,60
"Hareholme","E36003934",110,70,40
"Healey and Whitworth","E36003935",90,45,45
"Helmshore","E36003936",55,30,25
"Irwell","E36003937",180,105,75
"Longholme","E36003938",130,75,50
"Stacksteads","E36003939",110,55,55
"Whitewell","E36003940",125,70,60
"Worsley","E36003941",205,120,85
"Bamber Bridge East","E36003942",80,50,30
"Bamber Bridge North","E36003943",35,20,15
"Bamber Bridge West","E36003944",65,35,30
"Broad Oak","E36003945",30,15,15
"Charnock","E36003946",50,30,25
"Coupe Green and Gregson Lane","E36003947",20,15,10
"Earnshaw Bridge","E36003948",35,10,25
"Farington East","E36003949",25,15,15
"Farington West","E36003950",40,25,15
"Golden Hill","E36003951",95,45,50
"Howick and Priory","E36003952",20,15,5
"Kingsfold","E36003953",90,40,50
"Leyland Central","E36003954",60,35,25
"Leyland St. Ambrose","E36003955",75,40,35
"Leyland St. Mary's","E36003956",30,15,15
"Little Hoole and Much Hoole","E36003957",30,15,15
"Longton and Hutton West","E36003958",25,15,10
"Lostock Hall","E36003959",55,35,20
"Lowerhouse","E36003960",100,55,45
"Middleforth","E36003961",35,20,15
"Moss Side","E36003962",75,45,25
"New Longton and Hutton East","E36003963",20,15,5
"Samlesbury and Walton","E36003964",40,20,20
"Seven Stars","E36003965",85,50,35
"Tardy Gate","E36003966",25,20,10
"Walton-le-Dale","E36003967",20,15,10
"Whitefield","E36003968",25,20,5
"Ashurst","E36003969",120,80,40
"Aughton and Downholland","E36003970",40,20,20
"Aughton Park","E36003971",20,10,10
"Bickerstaffe","E36003972",15,10,5
"Birch Green","E36003973",155,95,65
"Burscough East","E36003974",25,15,15
"Burscough West","E36003975",40,20,20
"Derby","E36003976",55,35,20
"Digmoor","E36003977",195,115,80
"Halsall","E36003978",10,5,5
"Hesketh-with-Becconsall","E36003979",25,15,15
"Knowsley","E36003980",45,20,30
"Moorside","E36003981",135,75,60
"Newburgh","E36003982",5,5,0
"North Meols","E36003983",50,30,20
"Parbold","E36003984",15,10,5
"Rufford","E36003985",15,5,5
"Scarisbrick","E36003986",35,15,15
"Scott","E36003987",75,45,30
"Skelmersdale North","E36003988",125,65,60
"Skelmersdale South","E36003989",135,80,55
"Tanhouse","E36003990",185,110,80
"Tarleton","E36003991",45,20,20
"Up Holland","E36003992",85,55,30
"Wrightington","E36003993",30,20,10
"Bourne","E36003994",100,55,50
"Breck","E36003995",25,15,10
"Brock","E36003996",15,5,10
"Cabus","E36003997",10,5,5
"Calder","E36003998",10,5,5
"Carleton","E36003999",20,15,5
"Catterall","E36004000",20,10,5
"Cleveleys Park","E36004001",60,40,20
"Garstang","E36004002",20,10,10
"Great Eccleston","E36004003",25,10,15
"Hambleton and Stalmine-with-Staynall","E36004004",35,20,15
"Hardhorn","E36004005",35,15,20
"High Cross","E36004006",30,15,15
"Jubilee","E36004007",105,70,40
"Mount","E36004008",120,60,60
"Norcross","E36004009",50,25,25
"Park","E36004010",85,50,35
"Pharos","E36004011",320,210,110
"Pilling","E36004012",15,5,5
"Preesall","E36004013",60,35,25
"Rossall","E36004014",140,80,55
"Staina","E36004015",35,15,15
"Tithebarn","E36004016",40,20,20
"Victoria","E36004017",45,20,25
"Warren","E36004018",95,60,30
"Wyresdale","E36004019",10,5,5
"Cherryfield","E36006451",215,115,100
"Halewood North","E36006452",55,30,25
"Halewood South","E36006453",190,105,85
"Halewood West","E36006454",240,140,100
"Kirkby Central","E36006455",255,145,110
"Longview","E36006456",410,255,155
"Northwood","E36006457",355,185,170
"Page Moss","E36006458",350,185,170
"Park","E36006459",225,135,90
"Prescot East","E36006460",260,155,105
"Prescot West","E36006461",115,75,40
"Roby","E36006462",80,45,35
"Shevington","E36006463",135,70,65
"St Bartholomews","E36006464",150,85,65
"St Gabriels","E36006465",195,105,90
"St Michaels","E36006466",265,150,110
"Stockbridge","E36006467",290,170,120
"Swanside","E36006468",75,50,25
"Whiston North","E36006469",120,75,45
"Whiston South","E36006470",155,85,70
"Whitefield","E36006471",205,95,110
"Allerton and Hunts Cross","E36006472",215,130,85
"Anfield","E36006473",745,435,310
"Belle Vale","E36006474",470,260,210
"Central","E36006475",265,175,90
"Childwall","E36006476",135,85,50
"Church","E36006477",115,75,35
"Clubmoor","E36006478",490,275,215
"County","E36006479",725,400,325
"Cressington","E36006480",235,140,95
"Croxteth","E36006481",320,170,150
"Everton","E36006482",785,490,295
"Fazakerley","E36006483",425,240,185
"Greenbank","E36006484",365,240,125
"Kensington and Fairfield","E36006485",975,665,310
"Kirkdale","E36006486",710,440,270
"Knotty Ash","E36006487",400,230,170
"Mossley Hill","E36006488",125,85,40
"Norris Green","E36006489",555,290,265
"Old Swan","E36006490",490,280,210
"Picton","E36006491",865,580,290
"Princes Park","E36006492",1120,730,385
"Riverside","E36006493",610,370,240
"Speke-Garston","E36006494",815,460,355
"St Michael's","E36006495",340,250,90
